date,quantity
2024-04-01,475
2024-04-02,456
2024-04-03,466
2024-04-04,415
2024-04-05,446
2024-04-06,428
2024-04-07,417
2024-04-08,444
2024-04-09,426
2024-04-10,474
2024-04-11,449
2024-04-12,493
2024-04-13,427
2024-04-14,462
2024-04-15,429
2024-04-16,460
2024-04-17,491
2024-04-18,448
2024-04-19,476
2024-04-20,495
2024-04-21,513
2024-04-22,410
2024-04-23,405
2024-04-24,455
2024-04-25,486
2024-04-26,512
2024-04-27,423
2024-04-28,496
2024-04-29,474
2024-04-30,389
2024-05-01,468
2024-05-02,454
2024-05-03,441
2024-05-04,449
2024-05-05,410
2024-05-06,391
2024-05-07,438
2024-05-08,456
2024-05-09,330
2024-05-10,390
2024-05-11,460
2024-05-12,469
2024-05-13,453
2024-05-14,466
2024-05-15,484
2024-05-16,481
2024-05-17,480
2024-05-18,427
2024-05-19,485
2024-05-20,412
2024-05-21,462
2024-05-22,489
2024-05-23,440
2024-05-24,476
2024-05-25,469
2024-05-26,478
2024-05-27,471
2024-05-28,427
2024-05-29,409
2024-05-30,474
2024-05-31,464
2024-06-01,445
2024-06-02,485
2024-06-03,509
2024-06-04,460
2024-06-05,401
2024-06-06,459
2024-06-07,431
2024-06-08,478
2024-06-09,530
2024-06-10,464
2024-06-11,439
2024-06-12,444
2024-06-13,403
2024-06-14,470
2024-06-15,406
2024-06-16,438
2024-06-17,428
2024-06-18,458
2024-06-19,457
2024-06-20,426
2024-06-21,440
2024-06-22,461
2024-06-23,456
2024-06-24,377
2024-06-25,430
2024-06-26,476
2024-06-27,417
2024-06-28,485
2024-06-29,425
2024-06-30,475
2024-07-01,402
2024-07-02,459
2024-07-03,453
2024-07-04,477
2024-07-05,505
2024-07-06,411
2024-07-07,450
2024-07-08,431
2024-07-09,419
2024-07-10,441
2024-07-11,430
2024-07-12,440
2024-07-13,461
2024-07-14,471
2024-07-15,431
2024-07-16,490
2024-07-17,404
2024-07-18,393
2024-07-19,408
2024-07-20,367
2024-07-21,470
2024-07-22,456
2024-07-23,525
2024-07-24,501
2024-07-25,368
2024-07-26,424
2024-07-27,407
2024-07-28,428
2024-07-29,459
2024-07-30,420
2024-07-31,469
2024-08-01,441
2024-08-02,474
2024-08-03,468
2024-08-04,487
2024-08-05,475
2024-08-06,416
2024-08-07,436
2024-08-08,499
2024-08-09,446
2024-08-10,452
2024-08-11,483
2024-08-12,428
2024-08-13,397
2024-08-14,452
2024-08-15,427
2024-08-16,418
2024-08-17,452
2024-08-18,475
2024-08-19,448
2024-08-20,493
2024-08-21,408
2024-08-22,419
2024-08-23,480
2024-08-24,488
2024-08-25,453
2024-08-26,475
2024-08-27,501
2024-08-28,439
2024-08-29,440
2024-08-30,447
2024-08-31,433
2024-09-01,496
2024-09-02,445
2024-09-03,446
2024-09-04,443
2024-09-05,446
2024-09-06,451
2024-09-07,464
2024-09-08,413
2024-09-09,399
2024-09-10,380
2024-09-11,438
2024-09-12,471
2024-09-13,438
2024-09-14,454
2024-09-15,477
2024-09-16,409
2024-09-17,442
2024-09-18,469
2024-09-19,533
2024-09-20,419
2024-09-21,419
2024-09-22,414
2024-09-23,325
2024-09-24,458
2024-09-25,415
2024-09-26,439
2024-09-27,448
2024-09-28,454
2024-09-29,476
2024-09-30,473
2024-10-01,432
2024-10-02,449
2024-10-03,485
2024-10-04,489
2024-10-05,472
2024-10-06,451
2024-10-07,503
2024-10-08,399
2024-10-09,465
2024-10-10,450
2024-10-11,434
2024-10-12,478
2024-10-13,425
2024-10-14,495
2024-10-15,485
2024-10-16,457
2024-10-17,462
2024-10-18,477
2024-10-19,407
2024-10-20,432
2024-10-21,488
2024-10-22,447
2024-10-23,412
2024-10-24,416
2024-10-25,552
2024-10-26,470
2024-10-27,512
2024-10-28,419
2024-10-29,476
2024-10-30,409
2024-10-31,453
2024-11-01,485
2024-11-02,435
2024-11-03,477
2024-11-04,448
2024-11-05,414
2024-11-06,491
2024-11-07,398
2024-11-08,457
2024-11-09,467
2024-11-10,412
2024-11-11,436
2024-11-12,439
2024-11-13,466
2024-11-14,425
2024-11-15,468
2024-11-16,441
2024-11-17,422
2024-11-18,426
2024-11-19,415
2024-11-20,414
2024-11-21,441
2024-11-22,506
2024-11-23,457
2024-11-24,420
2024-11-25,433
2024-11-26,455
2024-11-27,446
2024-11-28,483
2024-11-29,458
2024-11-30,430
2024-12-01,473
2024-12-02,467
2024-12-03,448
2024-12-04,445
2024-12-05,483
2024-12-06,446
2024-12-07,482
2024-12-08,448
2024-12-09,382
2024-12-10,461
2024-12-11,426
2024-12-12,470
2024-12-13,472
2024-12-14,416
2024-12-15,427
2024-12-16,457
2024-12-17,493
2024-12-18,456
2024-12-19,456
2024-12-20,470
2024-12-21,492
2024-12-22,420
2024-12-23,481
2024-12-24,482
2024-12-25,476
2024-12-26,448
2024-12-27,458
2024-12-28,449
2024-12-29,475
2024-12-30,494
2024-12-31,456
2025-01-01,432
2025-01-02,477
2025-01-03,411
2025-01-04,448
2025-01-05,449
2025-01-06,435
2025-01-07,450
2025-01-08,419
2025-01-09,460
2025-01-10,435
2025-01-11,423
2025-01-12,460
2025-01-13,467
2025-01-14,463
2025-01-15,457
2025-01-16,463
2025-01-17,426
2025-01-18,529
2025-01-19,463
2025-01-20,460
2025-01-21,463
2025-01-22,406
2025-01-23,404
2025-01-24,370
2025-01-25,450
2025-01-26,447
2025-01-27,432
2025-01-28,408
2025-01-29,475
2025-01-30,467
2025-01-31,480
2025-02-01,420
2025-02-02,463
2025-02-03,489
2025-02-04,401
2025-02-05,495
2025-02-06,490
2025-02-07,425
2025-02-08,415
2025-02-09,502
2025-02-10,436
2025-02-11,426
2025-02-12,446
2025-02-13,437
2025-02-14,460
2025-02-15,440
2025-02-16,422
2025-02-17,459
2025-02-18,398
2025-02-19,466
2025-02-20,421
2025-02-21,494
2025-02-22,414
2025-02-23,439
2025-02-24,470
2025-02-25,468
2025-02-26,439
2025-02-27,455
2025-02-28,440
2025-03-01,430
2025-03-02,477
2025-03-03,417
2025-03-04,492
2025-03-05,454
2025-03-06,376
2025-03-07,502
2025-03-08,397
2025-03-09,437
2025-03-10,429
2025-03-11,408
2025-03-12,424
2025-03-13,428
2025-03-14,422
2025-03-15,457
2025-03-16,450
2025-03-17,458
2025-03-18,474
2025-03-19,418
2025-03-20,449
2025-03-21,391
2025-03-22,475
2025-03-23,413
2025-03-24,396
2025-03-25,500
2025-03-26,440
2025-03-27,409
2025-03-28,414
2025-03-29,415
2025-03-30,461
2025-03-31,451
